GeneName	GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FGF21	ENSG00000105550	18.28582129	-5.543666112	1.595620899	-3.474300265	0.000512188	0.002363393
FUT1	ENSG00000174951	80.08589795	-3.458054231	0.493053987	-7.013540759	2.32E-12	6.54E-11
ABBA01000935.2	ENSG00000283544	12.11907729	-3.449172545	1.143691701	-3.015823707	0.002562822	0.009510224
AL354872.2	ENSG00000271992	19.1633501	-3.38598335	0.786651091	-4.304301346	1.68E-05	0.000118549
PMAIP1	ENSG00000141682	445.5564849	-3.312409874	0.19815257	-16.71646187	9.95E-63	2.21E-59
GDF15	ENSG00000130513	770.3224	-3.264374943	0.506515339	-6.444770158	1.16E-10	2.50E-09
RAB39B	ENSG00000155961	225.5118603	-3.164283588	0.391957579	-8.073025651	6.86E-16	3.31E-14
HOXB9	ENSG00000170689	20.3093494	-3.139557796	1.109505055	-2.829692197	0.004659281	0.015868919
KIF21B	ENSG00000116852	98.59130889	-3.021092721	0.350619324	-8.616446715	6.91E-18	4.44E-16
CTH	ENSG00000116761	1719.479827	-2.96009075	0.126447863	-23.40957523	3.41E-121	5.31E-117
CHAC1	ENSG00000128965	2319.142577	-2.934176537	0.346898435	-8.458315872	2.71E-17	1.57E-15
PDE4D	ENSG00000113448	417.9757001	-2.825440906	0.202451782	-13.95611775	2.89E-44	1.66E-41
FAM129A	ENSG00000135842	932.2752245	-2.816685756	0.597701087	-4.712532432	2.45E-06	2.15E-05
AC069224.1	ENSG00000260572	28.82560942	-2.791204651	0.604227878	-4.619456916	3.85E-06	3.21E-05
CXCL8	ENSG00000169429	2645.552207	-2.773182402	0.782754368	-3.542851393	0.000395826	0.001883505
INHBE	ENSG00000139269	393.8881432	-2.760015247	0.802299775	-3.440129652	0.000581436	0.002638275
FLJ38576	ENSG00000279943	18.61347643	-2.743951026	0.823615234	-3.331593336	0.000863503	0.003730805
TRIB3	ENSG00000101255	14146.0017	-2.714203582	0.171547586	-15.82186984	2.20E-56	2.14E-53
ATF3	ENSG00000162772	919.7647269	-2.709231924	0.180532573	-15.00688702	6.62E-51	5.14E-48
MKX	ENSG00000150051	88.27764467	-2.679331147	0.385648377	-6.947601248	3.72E-12	1.02E-10
RGS16	ENSG00000143333	167.6839627	-2.673569853	0.387193693	-6.904993296	5.02E-12	1.35E-10
SESN2	ENSG00000130766	4277.343789	-2.66365968	0.150417002	-17.70850131	3.61E-70	9.34E-67
CXCL2	ENSG00000081041	805.2452382	-2.638384431	0.50811176	-5.19252778	2.07E-07	2.33E-06
MTHFD2P7	ENSG00000181260	10.76987789	-2.574511173	0.983667707	-2.617256982	0.008863958	0.027321454
SHISA2	ENSG00000180730	13.58160639	-2.571308397	0.948964029	-2.70959522	0.006736537	0.021693434
CALCB	ENSG00000175868	28.37141553	-2.550544387	0.900415282	-2.832631164	0.004616662	0.015744469
AC023055.1	ENSG00000257390	38.93136555	-2.528905856	0.590281427	-4.284237555	1.83E-05	0.000128134
H1F0	ENSG00000189060	12186.71991	-2.526301364	0.123851511	-20.39782427	1.75E-92	1.36E-88
DDIT3	ENSG00000175197	1817.382788	-2.501788358	0.178315891	-14.030092	1.02E-44	6.34E-42
SAXO2	ENSG00000188659	11.02529107	-2.438774342	0.969635995	-2.515144193	0.011898371	0.035027957
CXCL3	ENSG00000163734	392.3905393	-2.43280083	0.544303725	-4.469564912	7.84E-06	6.02E-05
PHLDA1	ENSG00000139289	5175.458673	-2.383967878	0.154548408	-15.42537969	1.11E-53	9.04E-51
FAM83B	ENSG00000168143	38.70183216	-2.364537186	0.634368828	-3.727385523	0.000193476	0.001003945
CEBPB-AS1	ENSG00000277449	16.78893219	-2.350831498	0.750489605	-3.132397149	0.001733852	0.006832096
TSLP	ENSG00000145777	64.30996906	-2.29981388	0.490166396	-4.691904421	2.71E-06	2.34E-05
AC099568.2	ENSG00000272931	28.81708485	-2.275866619	0.545153146	-4.174728949	2.98E-05	0.000196629
HIST1H4I	ENSG00000276180	10.46768581	-2.26240125	0.916578808	-2.468310667	0.013575245	0.039207001
AL031848.2	ENSG00000271746	9.968677016	-2.199182398	0.897642623	-2.44995318	0.014287479	0.04086918
KLF4	ENSG00000136826	1942.129721	-2.156341482	0.172246161	-12.51895237	5.88E-36	1.94E-33
KDM7A	ENSG00000006459	1052.231778	-2.156094269	0.155057734	-13.90510624	5.90E-44	3.06E-41
SLC6A9	ENSG00000196517	1719.873087	-2.133871333	0.134099832	-15.91255784	5.19E-57	5.76E-54
AL353708.3	ENSG00000272906	16.57196429	-2.128492002	0.715926898	-2.973057736	0.00294849	0.010743841
NUP62CL	ENSG00000198088	31.22106463	-2.119769704	0.560555217	-3.781553785	0.000155853	0.000829772
AC007032.1	ENSG00000273320	12.86527253	-2.103175698	0.882256033	-2.383860942	0.017132075	0.047852188
CCDC168	ENSG00000175820	13.07676091	-2.095432888	0.847227612	-2.473282101	0.013387842	0.038773844
ULBP1	ENSG00000111981	169.9856383	-2.026156778	0.285406274	-7.099201942	1.25E-12	3.81E-11
SLC7A5P1	ENSG00000260727	57.36056595	-2.021156042	0.415309108	-4.86663067	1.14E-06	1.08E-05
HTR7	ENSG00000148680	101.3584696	-2.014298981	0.454510595	-4.431797634	9.35E-06	7.06E-05
FBXO39	ENSG00000177294	16.624565	-2.013247725	0.837235365	-2.404637704	0.016188506	0.045618417
DUSP9	ENSG00000130829	14.96490674	-1.995318929	0.827782643	-2.410438231	0.015933369	0.044997363
RHEBL1	ENSG00000167550	43.99902499	-1.976409077	0.4244126	-4.656810557	3.21E-06	2.72E-05
OXCT1-AS1	ENSG00000248668	18.25445901	-1.967176778	0.743977504	-2.64413476	0.008190004	0.025602049
ADM2	ENSG00000128165	664.3825911	-1.964073196	0.212448483	-9.24493867	2.35E-20	2.08E-18
LHX8	ENSG00000162624	59.54599324	-1.957522353	0.445083286	-4.398103484	1.09E-05	8.12E-05
PPP1R15A	ENSG00000087074	7449.246036	-1.934598772	0.183618672	-10.53595883	5.90E-26	8.49E-24
AKNA	ENSG00000106948	2430.712008	-1.928110658	0.336647988	-5.72737912	1.02E-08	1.51E-07
BBC3	ENSG00000105327	809.6546577	-1.914165045	0.127827166	-14.97463411	1.08E-50	7.96E-48
AL391121.1	ENSG00000272933	15.27212597	-1.913364453	0.748357619	-2.556751483	0.010565467	0.031643462
GABRG1	ENSG00000163285	159.8909427	-1.910870649	0.300673482	-6.355301555	2.08E-10	4.21E-09
FAM27E3	ENSG00000274026	66.32410473	-1.900865409	0.395160871	-4.810358385	1.51E-06	1.40E-05
ARIH2OS	ENSG00000221883	60.28482343	-1.8909883	0.382109089	-4.948817903	7.47E-07	7.43E-06
JHDM1D-AS1	ENSG00000260231	105.8351771	-1.876843126	0.315405798	-5.950566347	2.67E-09	4.43E-08
AC093249.6	ENSG00000261840	22.98744944	-1.873975941	0.592160833	-3.16464014	0.001552749	0.006216449
ASNS	ENSG00000070669	10200.4985	-1.869794115	0.136421671	-13.7059904	9.35E-43	4.40E-40
GPT2	ENSG00000166123	4574.541432	-1.844342808	0.118583274	-15.55314459	1.51E-54	1.31E-51
TUBE1	ENSG00000074935	1986.413148	-1.831581026	0.114371856	-16.01426341	1.02E-57	1.21E-54
COL21A1	ENSG00000124749	45.51716108	-1.82932818	0.697880471	-2.621262891	0.008760468	0.027066885
PCK2	ENSG00000100889	5768.268702	-1.807531311	0.156799872	-11.52763257	9.57E-31	2.25E-28
IL1A	ENSG00000115008	781.1669894	-1.778913917	0.436968196	-4.071037508	4.68E-05	0.000292828
AC010186.2	ENSG00000256594	141.0243159	-1.764728837	0.27892331	-6.326932078	2.50E-10	5.00E-09
LINC01194	ENSG00000248131	91.87736033	-1.742357999	0.325638546	-5.350588937	8.77E-08	1.07E-06
ERN1	ENSG00000178607	1808.467582	-1.734539361	0.179351719	-9.671161046	4.00E-22	3.88E-20
ARHGEF2	ENSG00000116584	11952.90157	-1.732108963	0.104090863	-16.64035542	3.56E-62	6.91E-59
CEBPG	ENSG00000153879	4923.079549	-1.717922835	0.10724842	-16.0181645	9.54E-58	1.21E-54
NMU	ENSG00000109255	29.6862992	-1.704700243	0.548939922	-3.10544046	0.001899959	0.007385507
AC023043.4	ENSG00000274849	19.20405781	-1.694744216	0.664196491	-2.551570565	0.010723861	0.032029473
ECM2	ENSG00000106823	223.6954089	-1.688633583	0.257499204	-6.557820599	5.46E-11	1.24E-09
MAFF	ENSG00000185022	2294.983201	-1.681964483	0.151519155	-11.10067227	1.25E-28	2.39E-26
SNHG1	ENSG00000255717	10117.2648	-1.677160976	0.122048649	-13.74174137	5.71E-43	2.77E-40
AL137060.1	ENSG00000274270	16.50740981	-1.67569235	0.670128809	-2.500552621	0.012399971	0.036277765
H1FX	ENSG00000184897	10028.46346	-1.673596032	0.10410151	-16.07657793	3.72E-58	5.79E-55
SMN1	ENSG00000172062	883.3900724	-1.664533187	0.46912318	-3.548179363	0.000387904	0.001852048
NEURL1B	ENSG00000214357	52.54913471	-1.659812288	0.433486038	-3.82898673	0.000128672	0.000706604
KLF15	ENSG00000163884	825.0594994	-1.659423934	0.144583945	-11.47723517	1.72E-30	3.92E-28
AC022413.1	ENSG00000280161	65.67249997	-1.652500195	0.355175647	-4.652628099	3.28E-06	2.77E-05
SETD8P1	ENSG00000279730	88.83579587	-1.650739079	0.334299858	-4.937899426	7.90E-07	7.81E-06
AC005540.1	ENSG00000235852	24.62569694	-1.646012798	0.581179207	-2.832194922	0.004622966	0.015762508
AC008622.2	ENSG00000275719	62.4620969	-1.634681425	0.362623353	-4.507932017	6.55E-06	5.15E-05
PSAT1	ENSG00000135069	15446.1928	-1.632419272	0.112266506	-14.54057258	6.70E-48	4.74E-45
AC092171.5	ENSG00000273084	57.353251	-1.621778809	0.390808199	-4.14980754	3.33E-05	0.000216646
CLGN	ENSG00000153132	69.18008973	-1.615195651	0.577472095	-2.797010739	0.005157782	0.017331262
GADD45A	ENSG00000116717	13809.49318	-1.608197009	0.133077838	-12.08463429	1.27E-33	3.66E-31
HIST2H2AC	ENSG00000184260	36.15979735	-1.607625006	0.47073685	-3.41512462	0.000637528	0.002864362
UNC5B	ENSG00000107731	5029.418049	-1.606874796	0.577840814	-2.780826065	0.005422078	0.018024626
AL121658.1	ENSG00000272716	46.48435708	-1.602189828	0.438707284	-3.652070268	0.000260135	0.001306643
ZFP69B	ENSG00000187801	327.1860705	-1.601203525	0.180716504	-8.86030599	7.98E-19	5.88E-17
CDKN3	ENSG00000100526	1609.887274	-1.599064007	0.130620977	-12.2420154	1.85E-34	5.65E-32
MXD1	ENSG00000059728	2185.976719	-1.585660358	0.129997441	-12.19762749	3.20E-34	9.56E-32
ZNF697	ENSG00000143067	2268.670052	-1.579148	0.110538889	-14.28590446	2.68E-46	1.81E-43
PPM1E	ENSG00000175175	186.9214173	-1.577641389	0.337353444	-4.67652374	2.92E-06	2.49E-05
SNHG17	ENSG00000196756	2376.597313	-1.561714559	0.130373328	-11.97878879	4.59E-33	1.21E-30
EGR1	ENSG00000120738	2165.525426	-1.559829828	0.448143203	-3.480650423	0.000500198	0.002316951
IFRD1	ENSG00000006652	3629.405795	-1.541493257	0.096179249	-16.02729569	8.24E-58	1.16E-54
ROBO4	ENSG00000154133	46.5455764	-1.541273958	0.451291371	-3.415252444	0.000637229	0.002863846
TNFRSF9	ENSG00000049249	140.1515214	-1.533546937	0.301594478	-5.084797803	3.68E-07	3.94E-06
