Partner,t_value,p_value
KLF15,2.81931,0.00504216
UEVLD,-3.53105,0.000460078
FBXW7,4.90837,1.32E-06
MRPL30,3.4929,0.000528898
TRIM27,3.72346,0.00022351
PLCXD1,3.45231,0.000612606
AURKA,-4.69856,3.56E-06
CD53,4.2314,2.86E-05
MYO1C,-4.23622,2.80E-05
BLMH,3.04403,0.00248218
MCFD2,-4.69053,3.70E-06
LRP11,-3.82467,0.000150961
ZNF490,4.32668,1.90E-05
PLEKHH1,-2.98526,0.00300024
AVPI1,-3.74575,0.000205157
ERMN,3.5315,0.000459331
PPM1K,3.02258,0.00266084
LRP10,-3.67672,0.000267129
HRCT1,-3.39631,0.00074854
TRAPPC8,3.64032,0.000306522
JCHAIN,2.71764,0.00684899
CCDC54,2.92728,0.00360662
IGKC,2.62668,0.00893982
ACVR1,-2.89531,0.00398695
KLHL12,2.96436,0.00320714
DDX59,2.685,0.00754227
PLPPR4,3.30659,0.00102615
PPARGC1B,2.98585,0.00299452
TMOD4,3.59286,0.000366109
PACSIN3,-4.68141,3.86E-06
C9orf62,3.04378,0.00248418
AP2S1,-3.56617,0.000404228
AP1S1,-3.01081,0.00276387
AP2M1,-3.1175,0.00195024
LRRC8B,2.65938,0.00812994
ZNF548,4.17267,3.67E-05
RIMBP2,4.90311,1.35E-06
N6AMT1,-2.92461,0.0036371
SCG3,2.87881,0.0041972
IFIT2,-3.99527,7.64E-05
IFIT1,-4.97728,9.45E-07
HEG1,-3.6797,0.000264126
SMDT1,3.27886,0.00112968
CGGBP1,3.67533,0.000268537
IFIT3,-3.80504,0.00016301
MRGPRG-AS1,2.64348,0.00851508
WIPF1,3.40366,0.000729218
WAS,4.24069,2.75E-05
MIA3,3.16353,0.00167274
LOC729970,-2.86608,0.00436638
R3HCC1,3.11486,0.00196739
CD48,4.81424,2.07E-06
LNPK,3.31304,0.00100339
TBC1D10A,-3.12643,0.00189329
POGZ,3.87561,0.000123498
ACER3,-2.73282,0.00654658
PLEKHM3,4.64184,4.63E-06
C1QL1,-2.80581,0.00525414
C9orf3,-2.89438,0.00399854
CLASP2,4.3684,1.58E-05
DYSF,-2.75382,0.00614793
TICRR,2.86504,0.00438047
FLII,-4.43042,1.20E-05
SLC6A2,2.65556,0.00822099
ARHGAP4,5.14049,4.22E-07
RND3,-4.13745,4.25E-05
RHOH,4.3222,1.93E-05
RASAL3,5.04725,6.71E-07
FOXL1,-4.44538,1.13E-05
FOXC2,-2.8474,0.00462563
FOXE1,-2.62284,0.0090395
MGAT4B,-3.19724,0.00149322
